xflr5 v6.59

Plane name :        Volde h =3.0
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   12.800     0.000   1.549096   0.061087   0.018694   0.079781  -0.000000  -0.000000  -5.832454   0.000000   0.000000   55.6000     2.6170
   13.000     0.000   1.566208   0.062422   0.019274   0.081696  -0.000000  -0.000000  -5.902770   0.000000   0.000000   55.6000     2.6169
   13.200     0.000   1.583287   0.063768   0.019857   0.083625  -0.000000  -0.000000  -5.973088   0.000000   0.000000   55.6000     2.6169
   13.400     0.000   1.600334   0.065125   0.020512   0.085637  -0.000000  -0.000000  -6.043411   0.000000   0.000000   55.6000     2.6169
   13.600     0.000   1.617349   0.066492   0.021213   0.087705  -0.000000  -0.000000  -6.113712   0.000000   0.000000   55.6000     2.6169
   13.800     0.000   1.634330   0.067870   0.022020   0.089891  -0.000000  -0.000000  -6.183985   0.000000   0.000000   55.6000     2.6169
   14.000     0.000   1.651278   0.069259   0.022902   0.092160  -0.000000  -0.000000  -6.254211   0.000000   0.000000   55.6000     2.6170
   14.200     0.000   1.668193   0.070658   0.023956   0.094613  -0.000000  -0.000000  -6.324380   0.000000   0.000000   55.6000     2.6170
   14.400     0.000   1.685073   0.072066   0.025072   0.097138  -0.000000  -0.000000  -6.394531   0.000000   0.000000   55.6000     2.6171
   14.600     0.000   1.701919   0.073485   0.026448   0.099933  -0.000000  -0.000000  -6.464676   0.000000   0.000000   55.6000     2.6173


